year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,7,1,ALL,"",55719359,16162329,20815757,12116676
2021,7,1,ALL_CA,CA,399130,256232,399130,256232
2021,7,1,ALL_US,US,55320229,15906322,20416627,11860444
2021,7,1,ab,CA,63623,42319,63623,42319
2021,7,1,ak,US,68367,22189,22679,14445
2021,7,1,al,US,1541435,409546,565750,314909
2021,7,1,ar,US,789952,223759,305227,171914
2021,7,1,as,US,1,1,1,1
2021,7,1,az,US,1004194,303214,357167,220295
2021,7,1,bc,CA,49892,32258,49892,32258
2021,7,1,ca,US,4400597,1315287,1536193,951207
2021,7,1,co,US,903789,273958,286186,172155
2021,7,1,ct,US,413934,142785,170016,99701
2021,7,1,dc,US,64144,33825,13017,8850
2021,7,1,de,US,148206,51595,55109,33067
2021,7,1,fl,US,4418877,1184968,1427365,822267
2021,7,1,ga,US,2444114,680745,866716,489172
2021,7,1,gu,US,31,31,26,26
2021,7,1,hi,US,238778,60364,59944,38554
2021,7,1,ia,US,730393,210202,286885,156218
2021,7,1,id,US,275326,86792,103665,60599
2021,7,1,il,US,2144059,645724,821085,470126
2021,7,1,in,US,1279707,389173,507512,288154
2021,7,1,ks,US,644901,189808,256462,141489
2021,7,1,ky,US,830713,261007,326249,190754
2021,7,1,la,US,1085845,299176,400439,224325
2021,7,1,ma,US,694222,249294,269527,161366
2021,7,1,mb,CA,23463,16139,23463,16139
2021,7,1,md,US,733247,257741,283310,173237
2021,7,1,me,US,177564,57124,69770,40762
2021,7,1,mi,US,1571105,485913,626608,359261
2021,7,1,mn,US,854101,270945,323235,188691
2021,7,1,mo,US,1458546,417218,539606,305315
2021,7,1,mp,US,7,7,7,7
2021,7,1,ms,US,805894,220550,304338,169525
2021,7,1,mt,US,153718,49259,52472,31654
2021,7,1,nb,CA,5987,3740,5987,3740
2021,7,1,nc,US,1970005,579199,753430,426892
2021,7,1,nd,US,140145,42216,52587,29287
2021,7,1,ne,US,453922,129614,171155,91654
2021,7,1,nh,US,185968,61868,73368,42229
2021,7,1,nj,US,1277163,416655,517172,297899
2021,7,1,nl,CA,4677,2978,4677,2978
2021,7,1,nm,US,253203,87490,91070,55030
2021,7,1,ns,CA,7456,4711,7456,4711
2021,7,1,nt,CA,241,155,241,155
2021,7,1,nu,CA,112,73,112,73
2021,7,1,nv,US,585081,155678,152692,95220
2021,7,1,ny,US,2198075,758049,854534,513621
2021,7,1,oh,US,2090082,636049,829296,474361
2021,7,1,ok,US,991975,286835,382162,216936
2021,7,1,on,CA,146150,94519,146150,94519
2021,7,1,or,US,532609,176087,189244,119760
2021,7,1,pa,US,1676960,573642,687434,410191
2021,7,1,pe,CA,1195,723,1195,723
2021,7,1,pr,US,7024,5241,4113,3429
2021,7,1,qc,CA,79639,47674,79639,47674
2021,7,1,ri,US,121068,43102,47447,28072
2021,7,1,sc,US,1236178,345721,442174,245973
2021,7,1,sd,US,175074,51149,62384,34774
2021,7,1,sk,CA,16533,10826,16533,10826
2021,7,1,tn,US,1526109,448921,552650,318062
2021,7,1,tx,US,6054195,1680221,2189990,1249041
2021,7,1,ut,US,471202,142647,173158,100416
2021,7,1,va,US,1233282,391880,474284,278031
2021,7,1,vi,US,34,30,0,0
2021,7,1,vt,US,57009,20578,23698,14233
2021,7,1,wa,US,871846,289447,331237,212254
2021,7,1,wi,US,946624,294499,373763,215913
2021,7,1,wv,US,293096,97751,118836,70431
2021,7,1,wy,US,96533,31932,32183,18713
2021,7,1,yt,CA,162,117,162,117
2021,7,2,ALL,"",57848254,15809667,19948509,11488523
2021,7,2,ALL_CA,CA,416924,254477,416924,254477
2021,7,2,ALL_US,US,57431330,15555422,19531585,11234046
2021,7,2,ab,CA,65650,42746,65650,42746
2021,7,2,ak,US,70159,22167,21823,13857
2021,7,2,al,US,1608115,418239,540635,300589
2021,7,2,ar,US,857697,222777,296817,162850
2021,7,2,as,US,2,2,2,2
2021,7,2,az,US,1045673,298966,349454,211008
2021,7,2,bc,CA,51477,32119,51477,32119
2021,7,2,ca,US,4589566,1293762,1518530,917803
2021,7,2,co,US,947750,265705,274697,161270
2021,7,2,ct,US,411806,138270,162319,95809
2021,7,2,dc,US,66551,32873,11667,7824
2021,7,2,de,US,157540,52376,51511,30931
2021,7,2,fl,US,4624996,1174790,1380276,790445
2021,7,2,ga,US,2512076,672961,824603,465581
2021,7,2,gu,US,36,36,29,29
2021,7,2,hi,US,251881,60488,60495,38062
2021,7,2,ia,US,753202,209722,272709,147350
2021,7,2,id,US,281791,85366,99155,57224
2021,7,2,il,US,2205444,644114,783151,442857
2021,7,2,in,US,1356886,382164,489560,272268
2021,7,2,ks,US,665960,184564,247388,133235
2021,7,2,ky,US,918302,260071,320513,180570
2021,7,2,la,US,1104047,299522,380163,214007
2021,7,2,ma,US,679507,243945,250529,152273
2021,7,2,mb,CA,24503,16109,24503,16109
2021,7,2,md,US,782723,251561,268775,160782
2021,7,2,me,US,178564,57084,64618,38858
2021,7,2,mi,US,1566447,472969,574365,329788
2021,7,2,mn,US,814226,257873,286883,168679
2021,7,2,mo,US,1555810,415997,520873,287039
2021,7,2,mp,US,15,15,15,15
2021,7,2,ms,US,861533,224451,293370,162554
2021,7,2,mt,US,153686,47687,48471,29149
2021,7,2,nb,CA,6308,3655,6308,3655
2021,7,2,nc,US,2006430,571188,700196,400896
2021,7,2,nd,US,127262,39252,44688,25784
