year,month,region,num_visits,num_unique_visitors
2021,7,ALL,1055187540,38699851
2021,7,ALL_US,1055187540,38699851
2021,7,ak,1372720,73496
2021,7,al,28643166,1218928
2021,7,ar,14540352,612637
2021,7,as,8,8
2021,7,az,19810317,1009476
2021,7,ca,88057334,4013334
2021,7,co,18109176,1040335
2021,7,ct,7289288,511412
2021,7,dc,1662416,318840
2021,7,de,2996484,226936
2021,7,fl,90009018,3515675
2021,7,ga,47827019,2304055
2021,7,gu,393,174
2021,7,hi,5624331,185553
2021,7,ia,12827648,660222
2021,7,id,4943395,294077
2021,7,il,39165103,2210827
2021,7,in,23475141,1211680
2021,7,ks,11485252,558547
2021,7,ky,16374121,884229
2021,7,la,19683737,876127
2021,7,ma,13010081,985041
2021,7,md,14424038,1008459
2021,7,me,3250268,179889
2021,7,mi,27633674,1449459
2021,7,mn,15623967,906133
2021,7,mo,27138552,1258809
2021,7,ms,14751923,653069
2021,7,mt,2943365,176254
2021,7,nc,36015367,1811183
2021,7,nd,2467699,129886
2021,7,ne,8064357,433945
2021,7,nh,3477642,222053
2021,7,nj,24485233,1391549
2021,7,nm,4931318,422715
2021,7,nv,12990059,703943
2021,7,ny,42251102,2709229
2021,7,oh,37627997,1805672
2021,7,ok,18947466,824769
2021,7,or,10346752,585465
2021,7,pa,30650020,1937234
2021,7,pr,77951,23497
2021,7,ri,2342781,189919
2021,7,sc,23586946,1056054
2021,7,sd,3335845,183642
2021,7,tn,31237564,1558166
2021,7,tx,115922178,4666117
2021,7,ut,8813503,505063
2021,7,va,23454758,1378491
2021,7,vi,1256,613
2021,7,vt,993380,77370
2021,7,wa,16486425,883631
2021,7,wi,16785703,886601
2021,7,wv,5276244,346717
2021,7,wy,1945707,160846
