year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,8,1,ALL,"",50795290,15860407,21166148,12379547
2021,8,1,ALL_CA,CA,439368,287647,439368,287647
2021,8,1,ALL_US,US,50355922,15572935,20726780,12091900
2021,8,1,ab,CA,63112,43061,63112,43061
2021,8,1,ak,US,61986,22435,23076,14909
2021,8,1,al,US,1342774,410101,573255,321831
2021,8,1,ar,US,674583,222176,310193,176897
2021,8,1,as,US,1,1,1,1
2021,8,1,az,US,971662,309032,382349,233678
2021,8,1,bc,CA,53060,35355,53060,35355
2021,8,1,ca,US,4190892,1291869,1556671,965170
2021,8,1,co,US,811943,261917,291482,175109
2021,8,1,ct,US,372114,133850,167491,98275
2021,8,1,dc,US,55150,26792,12964,8768
2021,8,1,de,US,139862,52514,55295,33794
2021,8,1,fl,US,3941782,1130418,1407805,825604
2021,8,1,ga,US,2352661,691569,928928,515486
2021,8,1,gu,US,57,54,43,42
2021,8,1,hi,US,233510,61941,62536,39816
2021,8,1,ia,US,624601,207153,282886,157827
2021,8,1,id,US,222114,84173,101999,62272
2021,8,1,il,US,1962985,637602,822517,475382
2021,8,1,in,US,1215856,389298,538689,301131
2021,8,1,ks,US,560426,182131,253220,141789
2021,8,1,ky,US,815404,265332,351791,198741
2021,8,1,la,US,911380,293960,400173,229321
2021,8,1,ma,US,652890,239214,273649,162554
2021,8,1,mb,CA,23243,16077,23243,16077
2021,8,1,md,US,670857,251415,280206,172848
2021,8,1,me,US,164047,58048,71226,41942
2021,8,1,mi,US,1395665,483421,634050,367343
2021,8,1,mn,US,766665,267982,331252,193537
2021,8,1,mo,US,1269011,403508,533906,303843
2021,8,1,mp,US,11,11,11,11
2021,8,1,ms,US,707478,223409,313192,175920
2021,8,1,mt,US,129912,49005,51714,32861
2021,8,1,nb,CA,7501,4742,7501,4742
2021,8,1,nc,US,1740708,566801,751302,430753
2021,8,1,nd,US,111990,40688,51076,29960
2021,8,1,ne,US,382865,125422,166527,91772
2021,8,1,nh,US,178201,63929,74281,43375
2021,8,1,nj,US,1199260,415382,514977,299302
2021,8,1,nl,CA,5991,3546,5991,3546
2021,8,1,nm,US,229287,87917,92270,57160
2021,8,1,ns,CA,9432,6127,9432,6127
