year,month,region,num_visits,num_unique_visitors
2021,8,ALL,1076756291,36401129
2021,8,ALL_US,1076756291,36401129
2021,8,ak,1343874,67364
2021,8,al,29323055,993797
2021,8,ar,15892497,540717
2021,8,as,3,3
2021,8,az,21770433,899042
2021,8,ca,90883591,3733263
2021,8,co,17949703,893601
2021,8,ct,7276144,466681
2021,8,dc,1634661,276652
2021,8,de,2864422,207392
2021,8,fl,81791062,2945226
2021,8,ga,48775738,1926153
2021,8,gu,441,253
2021,8,hi,5180874,167321
2021,8,ia,13663750,604532
2021,8,id,4940419,255786
2021,8,il,41443475,1975959
2021,8,in,25688962,1103665
2021,8,ks,12421870,511903
2021,8,ky,17688774,776394
2021,8,la,19469443,734411
2021,8,ma,13011938,859221
2021,8,md,14185001,918408
2021,8,me,3226736,166848
2021,8,mi,28369552,1320874
2021,8,mn,15524567,829001
2021,8,mo,28075415,1118209
2021,8,ms,15442916,572077
2021,8,mt,2797822,153990
2021,8,nc,37297973,1572294
2021,8,nd,2589952,122224
2021,8,ne,8470716,387008
2021,8,nh,3538252,210300
2021,8,nj,23772254,1287158
2021,8,nm,4949373,335797
2021,8,nv,12394736,601946
2021,8,ny,41698735,2469872
2021,8,oh,40239927,1673808
2021,8,ok,20504900,739511
2021,8,or,9987165,536193
2021,8,pa,32322175,1821145
2021,8,pr,72768,21644
2021,8,ri,2368435,199024
2021,8,sc,23228698,914459
2021,8,sd,3480257,166491
2021,8,tn,31554514,1290213
2021,8,tx,122590690,4291707
2021,8,ut,8864687,435358
2021,8,va,24352416,1255796
2021,8,vi,1272,587
2021,8,vt,1016947,73027
2021,8,wa,16299459,856859
2021,8,wi,16963184,845445
2021,8,wv,5751487,311003
2021,8,wy,1808181,134510
