"placekey","parent_placekey","location_name","safegraph_brand_ids","brands","top_category","sub_category","category_tags","naics_code","latitude","longitude","street_address","city","region","postal_code","iso_country_code","phone_number","open_hours","opened_on","closed_on","tracking_closed_since","geometry_type","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type","poi_cbg","visitor_home_aggregation","visitor_daytime_cbgs"
222-222@5wg-42g-brk,,Heartland Pharmacy,,,Health and Personal Care Stores,Pharmacies and Drug Stores,,446110,43.481353,-111.968888,1790 Sabin Dr,Ammon,ID,83406,US,+12085527677,,,,2019-07,POLYGON,2021-08-01T00:00:00-06:00,2021-09-01T00:00:00-06:00,132,65,"[2,6,9,6,6,4,1,0,6,7,7,5,3,1,0,5,2,7,5,5,3,0,5,6,8,4,7,1,1,6,4]","{""160199704031"":14,""160199705011"":11,""160199705023"":8,""160199704022"":5,""160199701002"":5,""160199706023"":4,""160199705021"":4,""160199705031"":4,""160119501003"":4,""160519601002"":4,""160199704012"":4,""160199713021"":4,""160199705022"":4,""160199707004"":4}","{""US"":63}",3978,38.0,"{""<5"":6,""5-10"":35,""11-20"":16,""21-60"":13,""61-120"":7,""121-240"":11,"">240"":44}","{""Big O Tires"":10,""Walmart"":8,""Target"":5,""Albertsons"":5,""Barnes and Noble College"":4,""McDonald's"":4,""Chevron"":3,""WinCo Foods"":3,""Starbucks"":3,""Wendy's"":3,""Staples"":3,""Kohl's"":3,""Costco"":3,""Costa Vida"":3,""ConocoPhillips"":2,""Dutch Bros Coffee"":2,""Walgreens"":2,""LensCrafters"":2,""Good 2 Go Stores"":2,""Sam's Club"":2}","{""Walmart"":82,""Sinclair Oil"":55,""McDonald's"":51,""Target"":45,""Maverik"":45,""Walgreens"":40,""Chevron"":34,""Ross Stores"":34,""WinCo Foods"":32,""Starbucks"":32,""Costco"":32,""Albertsons"":29,""LensCrafters"":29,""Phillips 66"":29,""Burger King"":28,""Sam's Club"":28,""Dollar Tree"":28,""Wendy's"":26,""Chick-fil-A"":26,""Shell Oil"":26}","[7,5,4,4,4,4,4,8,22,34,46,52,54,48,49,52,47,34,7,4,8,9,7,5]","{""Monday"":28,""Tuesday"":28,""Wednesday"":28,""Thursday"":20,""Friday"":19,""Saturday"":6,""Sunday"":3}","{""android"":37,""ios"":25}",160199705022,"{""16019970403"":10,""16019970501"":8,""16019970502"":8,""16019970402"":6,""16019970503"":6,""16051960300"":4,""16019970100"":4,""16019971301"":4,""16065950302"":4,""16019970602"":4,""16011950100"":4}","{""160199705011"":9,""160199704031"":9,""160199705023"":7,""160199705022"":6,""160199704021"":4,""160199705031"":4,""160199714003"":4}"
223-223@5wg-425-kmk,,Child Behavior Center,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),,621111,43.483319,-111.977095,1619 Curlew Dr,Ammon,ID,83406,US,,,,,2019-07,POLYGON,,,,,,,,,,,,,,,,,,
zzw-222@5wg-5w6-3wk,,Lighthouse Montessori School,,,Elementary and Secondary Schools,Elementary and Secondary Schools,,611110,43.490648,-111.906087,756 S Foothill Rd,Ammon,ID,83401,US,,,,,2019-07,POLYGON,2021-08-01T00:00:00-06:00,2021-09-01T00:00:00-06:00,64,12,"[0,3,3,5,4,3,1,0,3,1,2,8,3,0,0,1,2,1,2,0,1,0,5,2,2,5,1,1,0,3,2]","{""160199713013"":4,""160199714004"":4}","{""US"":12}",8868,93.0,"{""<5"":2,""5-10"":17,""11-20"":3,""21-60"":4,""61-120"":11,""121-240"":9,"">240"":18}","{""Olive Garden"":19,""Sinclair Oil"":13,""Walmart"":10,""Chick-fil-A"":8,""McDonald's"":8,""Wendy's"":6,""Maverik"":6,""Carl's Jr."":4,""Target"":2,""Chevron"":2,""Jamba"":2,""Albertsons"":2,""Lowe's"":2,""The Home Depot"":2,""Buffalo Wild Wings"":2,""Starbucks"":2,""Ace Hardware"":2,""Sam's Club Fuel Center"":2,""Walgreens"":2,""Panda Express"":2}","{""Walmart"":92,""McDonald's"":58,""Target"":50,""Maverik"":50,""Sinclair Oil"":50,""Chick-fil-A"":50,""Chevron"":42,""Ross Stores"":42,""WinCo Foods"":42,""Starbucks"":42,""Wendy's"":42,""Carl's Jr."":42,""Phillips 66"":42,""Olive Garden"":33,""Bodifi"":33,""Albertsons"":33,""Taco Bell"":33,""Buffalo Wild Wings"":33,""Sam's Club Fuel Center"":33,""Walgreens"":33}","[0,0,0,0,0,0,0,6,28,26,22,27,29,20,12,19,8,7,1,1,0,0,0,0]","{""Monday"":15,""Tuesday"":10,""Wednesday"":10,""Thursday"":19,""Friday"":7,""Saturday"":3,""Sunday"":0}","{""android"":4,""ios"":8}",160199705011,"{""16019970402"":4}","{""160199704021"":4,""160119501001"":4,""160519604004"":4,""160199705031"":4}"
zzw-222@5wg-429-yy9,,Streamline Parkour,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,43.508309,-111.978294,2728 E 14th N,Ammon,ID,83401,US,+12082706453,"{ ""Mon"": [[""16:00"", ""20:00""]], ""Tue"": [[""16:00"", ""20:00""]], ""Wed"": [[""16:00"", ""20:00""]], ""Thu"": [[""16:00"", ""20:00""]], ""Fri"": [[""16:00"", ""20:00""]], ""Sat"": [[""10:00"", ""14:00""]], ""Sun"": [] }",,,2019-07,POLYGON,2021-08-01T00:00:00-06:00,2021-09-01T00:00:00-06:00,131,24,"[1,3,5,7,7,8,3,0,3,3,7,6,4,0,0,4,6,5,12,6,1,2,3,6,6,5,5,1,1,6,5]","{""160199705031"":4,""160199703004"":4,""160199701002"":4,""160119501002"":4,""160519604003"":4}","{""US"":23}",13190,81.0,"{""<5"":1,""5-10"":19,""11-20"":6,""21-60"":27,""61-120"":40,""121-240"":16,"">240"":22}","{""Maverik"":19,""Chevron"":9,""WinCo Foods"":8,""Orangetheory Fitness"":8,""Stinker Stores"":7,""Shell Oil"":7,""Walmart"":6,""Sinclair Oil"":6,""Anytime Fitness"":3,""Target"":3,""McDonald's"":3,""Good 2 Go Stores"":3,""Phillips 66"":3,""Deseret Industries (D.I.)"":2,""Starbucks"":2,""Nissan"":2,""Sherwin-Williams"":2,""Kneaders Bakery & Cafe"":2,""Exxon Mobil"":2,""Albertsons"":1}","{""Walmart"":75,""Maverik"":67,""Sinclair Oil"":63,""Chevron"":54,""Good 2 Go Stores"":38,""McDonald's"":33,""Wendy's"":29,""Walgreens"":29,""Albertsons"":25,""WinCo Foods"":25,""Broulim's"":25,""Orangetheory Fitness"":25,""Costco"":25,""Phillips 66"":25,""Sam's Club"":25,""Subway"":25,""Dollar Tree"":25,""C-A-L Ranch Stores"":21,""Lowe's"":21,""Fred Meyer"":21}","[5,5,4,5,18,23,15,19,22,20,28,49,39,26,23,25,23,18,6,6,4,2,1,3]","{""Monday"":19,""Tuesday"":25,""Wednesday"":25,""Thursday"":30,""Friday"":23,""Saturday"":5,""Sunday"":4}","{""android"":18,""ios"":5}",160199704031,"{""16051960400"":5,""16019970403"":4,""16019970602"":4}","{""160010104012"":4,""160199714003"":4,""160199704033"":4,""160199704032"":4,""160519604003"":4}"
zzw-222@5wg-42b-2kz,,ServiceMaster Cleaning & Restoration,,,Personal and Household Goods Repair and Maintenance,Reupholstery and Furniture Repair,,811420,43.509074,-111.975279,2839 E 14th N,Ammon,ID,83401,US,+12084005723,,,,2019-07,POLYGON,2021-08-01T00:00:00-06:00,2021-09-01T00:00:00-06:00,2,2,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]",{},"{""US"":4}",,8.5,"{""<5"":0,""5-10"":2,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":0}",{},"{""Walmart"":100,""LL Flooring"":100,""WinCo Foods"":100,""Sam's Club Fuel Center"":100,""Panda Express"":100,""Sam's Club"":100,""Chanello's Pizza"":50,""C-A-L Ranch Stores"":50,""Chevron"":50,""Casey's General Stores"":50,""Olive Garden"":50,""BP"":50,""Goodwill Industries"":50,""Taco John's"":50,""Freightliner Trucks"":50,""Starbucks"":50,""Wendy's"":50,""ConocoPhillips"":50,""Harley Davidson"":50,""Sears Home Services"":50}","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0]","{""Monday"":0,""Tuesday"":2,""Wednesday"":0,""Thursday"":0,""Friday"":0,""Saturday"":0,""Sunday"":0}","{""android"":4,""ios"":0}",160199704031,{},"{""160199714003"":4}"
zzw-222@5wg-425-kj9,,Premium Choice Home Care,,,Home Health Care Services,Home Health Care Services,,621610,43.482374,-111.976956,1675 Curlew Dr,Ammon,ID,83406,US,+12084193585,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,2019-07,POLYGON,2021-08-01T00:00:00-06:00,2021-09-01T00:00:00-06:00,73,49,"[0,5,4,3,6,1,1,0,3,2,4,2,3,2,0,0,3,1,3,0,0,0,2,1,3,10,3,4,2,3,2]","{""160199705011"":6,""160199704031"":4,""160199707003"":4,""160199705023"":4,""240253011061"":4,""160199703001"":4,""160199703003"":4}","{""US"":43}",4777,46.0,"{""<5"":2,""5-10"":16,""11-20"":2,""21-60"":24,""61-120"":16,""121-240"":7,"">240"":6}","{""Walmart"":17,""Sonic"":11,""McDonald's"":9,""Target"":4,""Chevron"":4,""Starbucks"":4,""Jack in the Box"":4,""LensCrafters"":4,""Phillips 66"":4,""Sam's Club"":4,""The Home Depot"":3,""Super Chix"":3,""Shari's"":3,""Maverik"":3,""Dutch Bros Coffee"":3,""Sinclair Oil"":3,""Walgreens"":3,""Dodge"":1,""Anytime Fitness"":1,""TacoTime"":1}","{""Walmart"":67,""McDonald's"":55,""Maverik"":47,""Sinclair Oil"":39,""Target"":35,""Chevron"":33,""Wendy's"":31,""Walgreens"":29,""Dollar Tree"":29,""Sonic"":27,""Starbucks"":27,""ConocoPhillips"":27,""Exxon Mobil"":27,""WinCo Foods"":22,""The Home Depot"":22,""Super Chix"":22,""Chick-fil-A"":22,""Sam's Club"":20,""Shell Oil"":20,""Dutch Bros Coffee"":18}","[3,5,5,5,4,4,2,5,13,14,14,8,8,14,16,20,14,8,5,4,4,3,3,3]","{""Monday"":13,""Tuesday"":12,""Wednesday"":11,""Thursday"":21,""Friday"":7,""Saturday"":7,""Sunday"":2}","{""android"":36,""ios"":10}",160199705011,"{""16019970403"":6,""16019970700"":4,""16065950302"":4,""16019970501"":4,""16019970300"":4,""16019970502"":4,""16011950100"":4,""16019971100"":4,""16019970602"":4}","{""160199704031"":5,""160199705011"":4,""160199705021"":4,""160659503022"":4,""160199703001"":4,""160199707002"":4,""160199701004"":4,""160199711005"":4,""160199711002"":4}"
222-223@5wg-426-b8v,,MOD Pizza,SG_BRAND_64e49e1011d505c4f87a72c2c29be07b,MOD Pizza,Restaurants and Other Eating Places,Full-Service Restaurants,"Counter Service,Pizza,Salad,Lunch,Dinner",722511,43.474759,-111.982154,2555 S 25th E,Ammon,ID,83406,US,+12086562337,"{ ""Mon"": [[""10:30"", ""22:00""]], ""Tue"": [[""10:30"", ""22:00""]], ""Wed"": [[""10:30"", ""22:00""]], ""Thu"": [[""10:30"", ""22:00""]], ""Fri"": [[""10:30"", ""23:00""]], ""Sat"": [[""10:30"", ""23:00""]], ""Sun"": [[""10:30"", ""22:00""]] }",,,2019-07,POLYGON,2021-08-01T00:00:00-06:00,2021-09-01T00:00:00-06:00,79,70,"[6,0,3,2,4,3,7,0,2,3,2,0,6,3,1,2,1,1,3,2,6,1,1,4,5,5,0,1,1,3,1]","{""160199705011"":9,""160659503012"":8,""160519604003"":5,""080010094092"":5,""160199704021"":5,""160519604004"":4,""160199706021"":4,""160659503022"":4,""160199705031"":4,""160199703003"":4}","{""US"":69}",7025,23.0,"{""<5"":0,""5-10"":12,""11-20"":16,""21-60"":44,""61-120"":5,""121-240"":1,"">240"":1}","{""Walmart"":15,""Ross Stores"":8,""Target"":6,""Super Chix"":6,""Maverik"":6,""Sam's Club"":6,""Planet Fitness"":4,""Sinclair Oil"":4,""Costco"":4,""McDonald's"":4,""Shell Oil"":4,""Cabela's"":3,""BioLife Plasma Services"":3,""Orange Leaf Frozen Yogurt"":3,""Freddy's Frozen Custard"":3,""Bodifi"":3,""Domino's Pizza"":3,""WinCo Foods"":3,""T.J. Maxx"":3,""PetSmart"":3}","{""Walmart"":80,""McDonald's"":71,""Maverik"":59,""Sinclair Oil"":54,""Wendy's"":47,""Chevron"":46,""Target"":44,""Chick-fil-A"":43,""Ross Stores"":37,""Costco"":34,""Taco Bell"":33,""Walgreens"":33,""Subway"":33,""T.J. Maxx"":31,""Sam's Club"":31,""Shell Oil"":31,""WinCo Foods"":30,""Super Chix"":30,""Cafe Rio"":30,""Starbucks"":29}","[0,0,0,0,0,0,1,0,1,1,1,4,13,11,8,6,3,11,10,20,13,10,2,0]","{""Monday"":8,""Tuesday"":12,""Wednesday"":10,""Thursday"":12,""Friday"":11,""Saturday"":17,""Sunday"":9}","{""android"":38,""ios"":29}",160199705021,"{""16019970501"":10,""16019970603"":4,""16019971400"":4,""16019970503"":4,""16019970300"":4,""12103024906"":4,""16019970403"":4,""30063001303"":4,""16065950302"":4,""16011950500"":4,""16019970402"":4,""16019970502"":4,""16001001800"":4}","{""160199705011"":8,""160199706031"":5,""160659503022"":4,""160199705031"":4,""160199714003"":4,""300630013031"":4,""160199704032"":4,""160199705021"":4,""160199713012"":4,""160199704031"":4,""160519604004"":4,""160199704021"":4,""490050002012"":4,""160199711001"":4}"
225-222@5wg-42h-94v,,Creekside Apartments,,,Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,,531110,43.464132,-111.956462,3655 Maiben St,Ammon,ID,83406,US,,,,,2019-07,POLYGON,,,,,,,,,,,,,,,,,,
223-222@5wg-425-kmk,,Neuro Behavioral Clinic,,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),,621330,43.483052,-111.977015,1619 Curlew Dr,Ammon,ID,83406,US,,,,,2019-07,POLYGON,,,,,,,,,,,,,,,,,,
zzw-222@5wg-5wt-nnq,,Bridgewater Elementary School,,,Elementary and Secondary Schools,Elementary and Secondary Schools,,611110,43.509227,-111.966352,1499 Indian Hollow Dr,Ammon,ID,83401,US,+12085525577,,,,2019-07,POLYGON,2021-08-01T00:00:00-06:00,2021-09-01T00:00:00-06:00,140,63,"[5,1,6,4,3,2,1,4,4,10,3,4,3,6,1,2,3,2,5,5,2,2,0,5,1,3,3,1,2,28,19]","{""160199704031"":30,""160199704033"":8,""160199712002"":4,""160199704022"":4,""160519604004"":4,""160199706012"":4,""160199703003"":4,""160199704021"":4,""160199712003"":4}","{""US"":60}",906,31.0,"{""<5"":2,""5-10"":34,""11-20"":17,""21-60"":34,""61-120"":16,""121-240"":13,"">240"":24}","{""Maverik"":15,""Walmart"":11,""Walgreens"":5,""McDonald's"":5,""Costco"":4,""TacoTime"":3,""Chevron"":3,""Kohl's"":3,""Sinclair Oil"":3,""Chick-fil-A"":3,""Arctic Circle"":3,""Big 5 Sporting Goods"":3,""Cabela's"":2,""LL Flooring"":2,""WinCo Foods"":2,""T.J. Maxx"":2,""PetSmart"":2,""Fred Meyer"":2,""Wendy's"":2,""Fred Meyer Jewelers"":2}","{""Walmart"":75,""Maverik"":68,""Sinclair Oil"":56,""McDonald's"":49,""Target"":41,""Chevron"":41,""Costco"":41,""Walgreens"":38,""WinCo Foods"":33,""Chick-fil-A"":33,""Wendy's"":29,""LensCrafters"":27,""Ross Stores"":25,""Exxon Mobil"":25,""Starbucks"":24,""Arctic Circle"":24,""Sam's Club"":24,""Hobby Lobby Stores"":22,""Fred Meyer Jewelers"":22,""Burger King"":22}","[16,13,12,12,12,12,11,19,21,21,21,23,31,32,29,30,26,18,26,35,28,24,15,16]","{""Monday"":35,""Tuesday"":43,""Wednesday"":10,""Thursday"":15,""Friday"":13,""Saturday"":10,""Sunday"":14}","{""android"":36,""ios"":26}",160199704031,"{""16019970403"":38,""16019970300"":5,""16027020503"":4,""16019970100"":4,""16019970601"":4,""16019971200"":4,""16019970402"":4}","{""160199704031"":26,""160199704033"":6,""060730083291"":4,""160199705021"":4,""160519604004"":4,""160199705011"":4,""160199703003"":4,""160199713012"":4,""160199712003"":4,""160199706012"":4,""160199704032"":4,""160199704021"":4}"
