,0,1,2
0,43.481353,-111.968888,132.0
1,43.481353,-111.968888,132.0
2,43.481353,-111.968888,132.0
3,43.481353,-111.968888,132.0
4,43.481353,-111.968888,132.0
5,43.481353,-111.968888,132.0
6,43.481353,-111.968888,132.0
7,43.481353,-111.968888,132.0
8,43.481353,-111.968888,132.0
9,43.481353,-111.968888,132.0
10,43.481353,-111.968888,132.0
11,43.481353,-111.968888,132.0
12,43.481353,-111.968888,132.0
13,43.481353,-111.968888,132.0
14,43.481353,-111.968888,132.0
15,43.481353,-111.968888,132.0
16,43.481353,-111.968888,132.0
17,43.481353,-111.968888,132.0
18,43.481353,-111.968888,132.0
19,43.481353,-111.968888,132.0
20,43.481353,-111.968888,132.0
21,43.481353,-111.968888,132.0
22,43.481353,-111.968888,132.0
23,43.481353,-111.968888,132.0
24,43.481353,-111.968888,132.0
25,43.481353,-111.968888,132.0
26,43.481353,-111.968888,132.0
27,43.481353,-111.968888,132.0
28,43.481353,-111.968888,132.0
29,43.481353,-111.968888,132.0
30,43.481353,-111.968888,132.0
31,43.481353,-111.968888,132.0
32,43.481353,-111.968888,132.0
33,43.481353,-111.968888,132.0
34,43.481353,-111.968888,132.0
35,43.481353,-111.968888,132.0
36,43.481353,-111.968888,132.0
37,43.481353,-111.968888,132.0
38,43.481353,-111.968888,132.0
39,43.481353,-111.968888,132.0
40,43.481353,-111.968888,132.0
41,43.481353,-111.968888,132.0
42,43.481353,-111.968888,132.0
43,43.481353,-111.968888,132.0
44,43.481353,-111.968888,132.0
45,43.481353,-111.968888,132.0
46,43.481353,-111.968888,132.0
47,43.481353,-111.968888,132.0
48,43.481353,-111.968888,132.0
49,43.481353,-111.968888,132.0
50,43.481353,-111.968888,132.0
51,43.481353,-111.968888,132.0
52,43.481353,-111.968888,132.0
53,43.481353,-111.968888,132.0
54,43.481353,-111.968888,132.0
55,43.481353,-111.968888,132.0
56,43.481353,-111.968888,132.0
57,43.481353,-111.968888,132.0
58,43.481353,-111.968888,132.0
59,43.481353,-111.968888,132.0
60,43.481353,-111.968888,132.0
61,43.481353,-111.968888,132.0
62,43.481353,-111.968888,132.0
63,43.481353,-111.968888,132.0
64,43.481353,-111.968888,132.0
65,43.481353,-111.968888,132.0
66,43.481353,-111.968888,132.0
67,43.481353,-111.968888,132.0
68,43.481353,-111.968888,132.0
69,43.481353,-111.968888,132.0
70,43.481353,-111.968888,132.0
71,43.481353,-111.968888,132.0
72,43.481353,-111.968888,132.0
73,43.481353,-111.968888,132.0
74,43.481353,-111.968888,132.0
75,43.481353,-111.968888,132.0
76,43.481353,-111.968888,132.0
77,43.481353,-111.968888,132.0
78,43.481353,-111.968888,132.0
79,43.481353,-111.968888,132.0
80,43.481353,-111.968888,132.0
